log_file,drift_deg,mu_phase,phi_max_deg,lanes,EbN0_dB,BER_M8_base,BER_M8_kura
Q14_drift1p0_mu0.05_phi10.0_L64.log,1.0,0.05,10.0,64,18.0,0.4772,0.5262
Q14_drift1p0_mu0.05_phi10.0_L64.log,1.0,0.05,10.0,64,20.0,0.5059,0.2006
Q14_drift1p0_mu0.05_phi10.0_L64.log,1.0,0.05,10.0,64,22.0,0.5273,0.00624
Q14_drift1p0_mu0.05_phi20.0_L64.log,1.0,0.05,20.0,64,18.0,0.4772,0.5262
Q14_drift1p0_mu0.05_phi20.0_L64.log,1.0,0.05,20.0,64,20.0,0.5059,0.2006
Q14_drift1p0_mu0.05_phi20.0_L64.log,1.0,0.05,20.0,64,22.0,0.5273,0.00624
Q14_drift1p0_mu0.05_phi5.0_L64.log,1.0,0.05,5.0,64,18.0,0.4772,0.5262
Q14_drift1p0_mu0.05_phi5.0_L64.log,1.0,0.05,5.0,64,20.0,0.5059,0.2006
Q14_drift1p0_mu0.05_phi5.0_L64.log,1.0,0.05,5.0,64,22.0,0.5273,0.00624
Q14_drift1p0_mu0.10_phi10.0_L64.log,1.0,0.1,10.0,64,18.0,0.4772,0.02885
Q14_drift1p0_mu0.10_phi10.0_L64.log,1.0,0.1,10.0,64,20.0,0.5059,0.01212
Q14_drift1p0_mu0.10_phi10.0_L64.log,1.0,0.1,10.0,64,22.0,0.5273,0.004563
Q14_drift1p0_mu0.10_phi20.0_L64.log,1.0,0.1,20.0,64,18.0,0.4772,0.02885
Q14_drift1p0_mu0.10_phi20.0_L64.log,1.0,0.1,20.0,64,20.0,0.5059,0.01212
Q14_drift1p0_mu0.10_phi20.0_L64.log,1.0,0.1,20.0,64,22.0,0.5273,0.004563
Q14_drift1p0_mu0.10_phi5.0_L64.log,1.0,0.1,5.0,64,18.0,0.4772,0.02885
Q14_drift1p0_mu0.10_phi5.0_L64.log,1.0,0.1,5.0,64,20.0,0.5059,0.01212
Q14_drift1p0_mu0.10_phi5.0_L64.log,1.0,0.1,5.0,64,22.0,0.5273,0.004563
Q14_drift1p0_mu0.20_phi10.0_L64.log,1.0,0.2,10.0,64,18.0,0.4772,0.02678
Q14_drift1p0_mu0.20_phi10.0_L64.log,1.0,0.2,10.0,64,20.0,0.5059,0.0109
Q14_drift1p0_mu0.20_phi10.0_L64.log,1.0,0.2,10.0,64,22.0,0.5273,0.003901
Q14_drift1p0_mu0.20_phi20.0_L64.log,1.0,0.2,20.0,64,18.0,0.4772,0.02678
Q14_drift1p0_mu0.20_phi20.0_L64.log,1.0,0.2,20.0,64,20.0,0.5059,0.0109
Q14_drift1p0_mu0.20_phi20.0_L64.log,1.0,0.2,20.0,64,22.0,0.5273,0.003901
Q14_drift1p0_mu0.20_phi5.0_L64.log,1.0,0.2,5.0,64,18.0,0.4772,0.02678
Q14_drift1p0_mu0.20_phi5.0_L64.log,1.0,0.2,5.0,64,20.0,0.5059,0.0109
Q14_drift1p0_mu0.20_phi5.0_L64.log,1.0,0.2,5.0,64,22.0,0.5273,0.003901
Q14_drift2p0_mu0.05_phi10.0_L64.log,2.0,0.05,10.0,64,18.0,0.4952,0.4975
Q14_drift2p0_mu0.05_phi10.0_L64.log,2.0,0.05,10.0,64,20.0,0.4891,0.5128
Q14_drift2p0_mu0.05_phi10.0_L64.log,2.0,0.05,10.0,64,22.0,0.517,0.4992
Q14_drift2p0_mu0.05_phi20.0_L64.log,2.0,0.05,20.0,64,18.0,0.4952,0.4975
Q14_drift2p0_mu0.05_phi20.0_L64.log,2.0,0.05,20.0,64,20.0,0.4891,0.5128
Q14_drift2p0_mu0.05_phi20.0_L64.log,2.0,0.05,20.0,64,22.0,0.517,0.4992
Q14_drift2p0_mu0.05_phi5.0_L64.log,2.0,0.05,5.0,64,18.0,0.4952,0.4975
Q14_drift2p0_mu0.05_phi5.0_L64.log,2.0,0.05,5.0,64,20.0,0.4891,0.5128
Q14_drift2p0_mu0.05_phi5.0_L64.log,2.0,0.05,5.0,64,22.0,0.517,0.4992
Q14_drift2p0_mu0.10_phi10.0_L64.log,2.0,0.1,10.0,64,18.0,0.4952,0.4685
Q14_drift2p0_mu0.10_phi10.0_L64.log,2.0,0.1,10.0,64,20.0,0.4891,0.4591
Q14_drift2p0_mu0.10_phi10.0_L64.log,2.0,0.1,10.0,64,22.0,0.517,0.4629
Q14_drift2p0_mu0.10_phi20.0_L64.log,2.0,0.1,20.0,64,18.0,0.4952,0.4685
Q14_drift2p0_mu0.10_phi20.0_L64.log,2.0,0.1,20.0,64,20.0,0.4891,0.4591
Q14_drift2p0_mu0.10_phi20.0_L64.log,2.0,0.1,20.0,64,22.0,0.517,0.4629
Q14_drift2p0_mu0.10_phi5.0_L64.log,2.0,0.1,5.0,64,18.0,0.4952,0.4685
Q14_drift2p0_mu0.10_phi5.0_L64.log,2.0,0.1,5.0,64,20.0,0.4891,0.4591
Q14_drift2p0_mu0.10_phi5.0_L64.log,2.0,0.1,5.0,64,22.0,0.517,0.4629
Q14_drift2p0_mu0.20_phi10.0_L64.log,2.0,0.2,10.0,64,18.0,0.4952,0.4402
Q14_drift2p0_mu0.20_phi10.0_L64.log,2.0,0.2,10.0,64,20.0,0.4891,0.3543
Q14_drift2p0_mu0.20_phi10.0_L64.log,2.0,0.2,10.0,64,22.0,0.517,0.2482
Q14_drift2p0_mu0.20_phi20.0_L64.log,2.0,0.2,20.0,64,18.0,0.4952,0.4402
Q14_drift2p0_mu0.20_phi20.0_L64.log,2.0,0.2,20.0,64,20.0,0.4891,0.3543
Q14_drift2p0_mu0.20_phi20.0_L64.log,2.0,0.2,20.0,64,22.0,0.517,0.2482
Q14_drift2p0_mu0.20_phi5.0_L64.log,2.0,0.2,5.0,64,18.0,0.4952,0.4402
Q14_drift2p0_mu0.20_phi5.0_L64.log,2.0,0.2,5.0,64,20.0,0.4891,0.3543
Q14_drift2p0_mu0.20_phi5.0_L64.log,2.0,0.2,5.0,64,22.0,0.517,0.2482
