n_sym,n_ref,n_data,theta_std_deg,ebn0_db,pref_mode,ber_noPLL,ber_DDonly,ber_DD_pRef
200000,1,1,1.0,12.0,spread8,0.492145,0.0006833333333333333,0.0006233333333333334
200000,1,1,1.0,14.0,spread8,0.48873833333333333,5.6666666666666664e-05,3.1666666666666666e-05
200000,1,1,1.0,16.0,spread8,0.4740216666666667,3.3333333333333333e-06,1.1666666666666666e-05
200000,1,1,3.0,12.0,spread8,0.5012183333333333,0.4762516666666667,0.03620333333333333
200000,1,1,3.0,14.0,spread8,0.5083933333333334,0.5065133333333334,0.030246666666666668
200000,1,1,3.0,16.0,spread8,0.497545,0.49677,0.027153333333333335
200000,1,1,5.0,12.0,spread8,0.51057,0.49401333333333336,0.14991
200000,1,1,5.0,14.0,spread8,0.508365,0.5119616666666666,0.13889666666666667
200000,1,1,5.0,16.0,spread8,0.5095183333333333,0.49830833333333335,0.136185
200000,2,1,1.0,12.0,spread8,0.48761666666666664,0.0005716666666666667,0.0005416666666666666
200000,2,1,1.0,14.0,spread8,0.46025,4.6666666666666665e-05,4e-05
200000,2,1,1.0,16.0,spread8,0.46623333333333333,0.0,0.0
200000,2,1,3.0,12.0,spread8,0.49255666666666664,0.49565166666666666,0.03944166666666667
200000,2,1,3.0,14.0,spread8,0.47604,0.5136383333333333,0.030703333333333332
200000,2,1,3.0,16.0,spread8,0.5044233333333333,0.50313,0.028685
200000,2,1,5.0,12.0,spread8,0.4999166666666667,0.49658166666666664,0.14583666666666667
200000,2,1,5.0,14.0,spread8,0.4955216666666667,0.5028883333333334,0.14537666666666665
200000,2,1,5.0,16.0,spread8,0.5029016666666667,0.49718,0.13771333333333333
200000,8,56,1.0,12.0,spread8,0.5261795535714285,0.0005276785714285714,0.0005174702380952381
200000,8,56,1.0,14.0,spread8,0.5305241071428571,4.675595238095238e-05,4.6011904761904764e-05
200000,8,56,1.0,16.0,spread8,0.5081106845238095,5.4761904761904765e-06,5.059523809523809e-06
200000,8,56,3.0,12.0,spread8,0.5128084226190476,0.5124408630952381,0.03622232142857143
200000,8,56,3.0,14.0,spread8,0.5098296428571428,0.512543988095238,0.03149952380952381
200000,8,56,3.0,16.0,spread8,0.49111738095238094,0.5156768154761905,0.028369851190476192
200000,8,56,5.0,12.0,spread8,0.5021315178571428,0.5011464880952381,0.1460476488095238
200000,8,56,5.0,14.0,spread8,0.49951125,0.5086400595238095,0.13983122023809524
200000,8,56,5.0,16.0,spread8,0.49558943452380955,0.4900541666666667,0.14150922619047618
