ebn0_db,theta_std_deg,ber_noPLL,ber_DDonly,ber_DD_pRef
12.000,0.000,0.024165000,0.026175000,0.024843000
12.000,0.500,0.511707000,0.028673000,0.025980000
12.000,0.800,0.487447000,0.369172000,0.027922000
12.000,1.000,0.503608000,0.485487000,0.029985000
12.000,1.200,0.533623000,0.403808000,0.032393000
12.000,1.500,0.515762000,0.512045000,0.037437000
12.000,2.000,0.506982000,0.508105000,0.049032000
14.000,0.000,0.006470000,0.007067000,0.006645000
14.000,0.500,0.412438000,0.008007000,0.007152000
14.000,0.800,0.480003000,0.259713000,0.008472000
14.000,1.000,0.485363000,0.261010000,0.009823000
14.000,1.200,0.482637000,0.485105000,0.011518000
14.000,1.500,0.486625000,0.505078000,0.015340000
14.000,2.000,0.479195000,0.512388000,0.024960000
16.000,0.000,0.000880000,0.001042000,0.000945000
16.000,0.500,0.543607000,0.001190000,0.001038000
16.000,0.800,0.532217000,0.001807000,0.001563000
16.000,1.000,0.538095000,0.002510000,0.002162000
16.000,1.200,0.549422000,0.254712000,0.002993000
16.000,1.500,0.516142000,0.444438000,0.005212000
16.000,2.000,0.498410000,0.477633000,0.011842000
18.000,0.000,0.000017000,0.000022000,0.000023000
18.000,0.500,0.378812000,0.000098000,0.000078000
18.000,0.800,0.455815000,0.000210000,0.000168000
18.000,1.000,0.455377000,0.000358000,0.000312000
18.000,1.200,0.491690000,0.464188000,0.000563000
18.000,1.500,0.499873000,0.322083000,0.001355000
18.000,2.000,0.466407000,0.515602000,0.004857000
