channel,snr_db,pam4_ffe_acc,pam4_ffe_ber,ilc3_ffe_acc,ilc3_ffe_ber
a,4.00,0.641640,0.358360,0.778580,0.221420
a,6.00,0.721660,0.278340,0.851570,0.148430
a,8.00,0.805405,0.194595,0.917480,0.082520
a,10.00,0.882375,0.117625,0.965035,0.034965
a,12.00,0.943530,0.056470,0.990415,0.009585
a,14.00,0.981495,0.018505,0.998595,0.001405
b,4.00,0.639390,0.360610,0.776270,0.223730
b,6.00,0.717390,0.282610,0.849250,0.150750
b,8.00,0.801720,0.198280,0.915940,0.084060
b,10.00,0.878610,0.121390,0.962710,0.037290
b,12.00,0.939845,0.060155,0.988815,0.011185
b,14.00,0.977920,0.022080,0.998015,0.001985
c,4.00,0.639665,0.360335,0.777565,0.222435
c,6.00,0.720525,0.279475,0.851275,0.148725
c,8.00,0.805625,0.194375,0.917105,0.082895
c,10.00,0.882650,0.117350,0.964410,0.035590
c,12.00,0.944090,0.055910,0.989960,0.010040
c,14.00,0.981310,0.018690,0.998460,0.001540
